hotspot,name,lat,lon,patrol,shift,violations,impact
"J:BTP080 - NR Road, SP Road Junction","BTP080 - NR Road, SP Road Junction",12.964,77.583,2,morning,3681,8.34
J:BTP045 - Danvanthri Road Junction,BTP045 - Danvanthri Road Junction,12.977,77.575,2,afternoon,3181,8.3
"J:BTP083 - AS Char Street, Mysore Road","BTP083 - AS Char Street, Mysore Road",12.966,77.574,2,evening,2778,7.4
J:BTP032 - Windsor Circle,BTP032 - Windsor Circle,12.993,77.588,2,night,2749,7.18
G0026,"Mahatma Gandhi Road, WEBBS Circle Junction, Asho",12.973,77.617,2,morning,2124,6.52
J:BTP042 - Minsk Square Junction (CTO),BTP042 - Minsk Square Junction (CTO),12.981,77.598,2,afternoon,2044,7.2
J:BTP038 - Mysore Bank Junction,BTP038 - Mysore Bank Junction,12.973,77.581,2,evening,2021,7.72
J:BTP043 - Upparpet Junction,BTP043 - Upparpet Junction,12.971,77.576,2,night,1786,7.62
J:BTP048 - Shanthala Junction,BTP048 - Shanthala Junction,12.977,77.571,2,morning,1593,6.85
J:BTP104 - Medical College Circle,BTP104 - Medical College Circle,12.96,77.577,2,afternoon,1508,6.94
G0119,"Brigade Road, St Patricks Complex, Ashok Nagar, ",12.972,77.607,2,evening,1226,5.44
J:BTP063 - Siddalingaiah Circle,BTP063 - Siddalingaiah Circle,12.972,77.597,2,night,1060,6.62
G0002,"AS Char Main Road, Chickpet Circle, Chickpete, B",12.97,77.576,2,morning,1038,6.37
G0003,"Queens Road, Rajiv Gandhi Colony, Shivaji Nagar,",12.989,77.599,2,afternoon,824,5.44
J:BTP172 - Nanjappa Circle,BTP172 - Nanjappa Circle,12.962,77.599,2,evening,776,5.74
J:BTP054 - Shivananda Circle,BTP054 - Shivananda Circle,12.986,77.579,2,night,751,6.46
G0234,"Coles Road, Silver Enclave, Frazer Town, Bengalu",12.996,77.614,2,morning,717,4.79
J:BTP118 - Basappa Circle,BTP118 - Basappa Circle,12.958,77.578,2,afternoon,653,6.5
J:BTP192 - Urvashi Theater,BTP192 - Urvashi Theater,12.957,77.586,2,evening,625,6.91
G0038,"Saunders Road, Pulikeshi Nagar, Frazer Town, Ben",12.995,77.61,2,night,567,4.84
G0168,"Robertson Road, Sri Ramakrishnappa Circle, Fraze",13.0,77.611,2,morning,499,4.76
J:BTP076 - Hudson Circle,BTP076 - Hudson Circle,12.968,77.589,2,afternoon,455,5.78
"J:BTP101 - Blood Bank Circle, KH Road","BTP101 - Blood Bank Circle, KH Road",12.962,77.596,2,evening,410,5.21
G0054,"Palace Road, Kumar Park, Vasant Nagar, Bengaluru",12.994,77.59,2,night,405,4.13
J:BTP041 - Gopal Gowda Circle,BTP041 - Gopal Gowda Circle,12.977,77.59,2,morning,378,4.84
J:BTP167 - JC Road Junction,BTP167 - JC Road Junction,12.958,77.581,2,afternoon,372,5.7
G0157,"Old Madras Road, Someshwarpura, Halasuru, Bengal",12.974,77.623,2,evening,364,4.37
"J:BTP099 - Cash Pharmacy, Residency Road","BTP099 - Cash Pharmacy, Residency Road",12.969,77.6,2,night,349,5.26
J:BTP100 - Richmond Circle,BTP100 - Richmond Circle,12.963,77.598,2,morning,304,4.94
G0029,"MBT Road, Devasandra Junction, KR Puram, Bengalu",13.008,77.695,3,morning,3816,6.08
G0093,"Outer Ring Road, Venkatappa Colony, Mahadevapura",13.0,77.677,3,afternoon,2012,5.61
G0074,"MBT Road, Royal Heritage, Pai Layout, Mahadevapu",12.996,77.669,3,evening,1906,6.37
G0076,"MBT Road, SM Layout, Dooravani Nagar, Bengaluru,",13.006,77.686,3,night,1254,4.86
G0045,"Whitefield Road, Phoenix Marketcity, Dyavasandra",12.996,77.696,3,morning,1253,5.31
G0096,"Pusa Thippasandra Main Road, Nada Prabhu Kempego",12.972,77.658,3,afternoon,1225,5.42
G0072,"Sir CV Raman Hospital Road, The Junction, Indira",12.97,77.647,3,evening,938,5.44
G0105,"Domlur Inner Ring Road, HAL Stage 2, Indiranagar",12.97,77.64,3,night,863,5.4
G0164,"Old Madras Road, Gopalan Signature Mall, Nagavar",12.994,77.663,3,morning,809,4.43
"J:BTP148 - 17th Main, Doopanahalli Bus Stop","BTP148 - 17th Main, Doopanahalli Bus Stop",12.964,77.642,3,afternoon,745,6.0
G0015,"Old Airport Road, Manipal Hospital Junction, Kod",12.96,77.649,3,evening,630,5.34
G0111,"Golf Avenue Road, Muniallappa Garden, Kodihalli,",12.959,77.645,3,night,533,4.92
G0020,"Chinmaya Mission Hospital Road, KFC Circle, Indi",12.978,77.64,3,morning,417,4.46
G0215,"Outer Ring Road, Doddanekundi, Bengaluru, Karnat",12.979,77.695,3,afternoon,337,4.56
G0222,"MBT Road, YSM Layout, KR Puram, Bengaluru, Karna",13.01,77.698,3,evening,298,4.11
G0006,"Sri Venkataranga Ayangar Road, Ranganathapura, M",13.001,77.571,4,morning,9183,7.54
G0061,"80 Feet Ring Road, Orion, Brigade Gateway, Malle",13.011,77.554,4,afternoon,5973,7.44
J:BTP027 - Modi Bridge Junction,BTP027 - Modi Bridge Junction,12.999,77.549,4,evening,4584,8.45
J:BTP020 - Hosahalli Metro Station,BTP020 - Hosahalli Metro Station,12.974,77.545,4,night,4101,7.84
"J:BTP001 - 10th Cross, Dr. Rajkumar Road","BTP001 - 10th Cross, Dr. Rajkumar Road",13.008,77.555,4,morning,2812,7.45
"J:BTP016 - 5th Main Road, RPC Layout","BTP016 - 5th Main Road, RPC Layout",12.965,77.538,4,afternoon,2474,6.92
"J:BTP070 - Cholurpalya Junction, Magadi Road","BTP070 - Cholurpalya Junction, Magadi Road",12.973,77.551,4,evening,2272,7.18
J:BTP023 - Mahalaxmi Layout Entrance,BTP023 - Mahalaxmi Layout Entrance,13.009,77.549,4,night,1807,7.33
